sp;gen;fam;Growth_Rings;Vessel_porosity;Vessel_arangement;Perforation_plates; Intervessel_pits_arregement;Mean_tangential_diameter_of_vessel_lumina;Ground_tissue_fibres;Septa_in_fibers;Fibre_wall_thickness;Parenchyma_Paratracheal;Type_of_parenchyma_banding;Ray_width;Rays_cellular_composition
Abuta_grandifolia;Abuta;MENISPERMACEAE;1;2;3;0;2;2;2;1;2;1;5;2;0
Abuta_rufescens;Abuta;MENISPERMACEAE;0;2;3;0;2;2;1;1;2;0;1;3;4
Acalypha_SPP.;Acalypha;EUPHORBIACEAE;1;2;3;1;2;2;1;0;1;0;5;2;5
Acanthosyris_falcata;Acanthosyris;SANTALACEAE;1;2;1;0;2;1;0;1;2;1;4;2;0
Acanthosyris_glabrata;Acanthosyris;SANTALACEAE;1;2;1;0;1;1;0;1;2;1;5;2;2
Acioa_guianensis;Acioa;CHRYSOBALANACEAE;1;2;3;0;2;3;1;1;2;0;2;0;2
Acmanthera_latifolia;Acmanthera;MALPIGHIACEAE;1;2;3;0;2;0;0;0;2;1;5;1;4
Actinocheita_filicina;Actinocheita;ANACARDIACEAE;1;2;3;0;2;1;0;0;1;1;5;1;2
Actinostemon_amazonicus;Actinostemon;EUPHORBIACEAE;0;2;1;0;2;1;0;1;2;0;1;1;1
Actinostemon_klotzschii;Actinostemon;EUPHORBIACEAE;0;2;3;0;2;0;0;1;1;0;5;0;5
Adelia_SP.;Adelia;EUPHORBIACEAE;1;2;3;0;2;1;0;1;2;0;5;0;2
Adelia_triloba;Adelia;EUPHORBIACEAE;1;2;3;0;2;1;0;1;2;0;2;0;4
Adelobotrys_macrantha;Adelobotrys;MELASTOMATACEAE;1;2;3;0;2;2;0;1;1;1;5;0;1
Adelobotrys_saxosa;Adelobotrys;MELASTOMATACEAE;1;2;3;0;2;1;0;1;1;1;1;0;1
Adenaria_floribunda;Adenaria;LYTHRACEAE;0;2;3;0;2;1;0;0;0;0;5;0;1
