sp;gen;fam;Growth_Rings;Vessel_porosity;Vessel_arangement;Perforation_plates; Intervessel_pits_arregement;Mean_tangential_diameter_of_vessel_lumina;Ground_tissue_fibres;Septa_in_fibers;Fibre_wall_thickness;Parenchyma_Paratracheal;Type_of_parenchyma_banding;Ray_width;Rays_cellular_composition;list_meanMAP;list_meanMAT;list_meanTS;list_meanPDQ
Abuta_grandifolia;Abuta;MENISPERMACEAE;1;2;3;0;2;2;2;1;2;1;5;2;0;2369.310598;25.64656049;65.67834291;286.5183631
Abuta_rufescens;Abuta;MENISPERMACEAE;0;2;3;0;2;2;1;1;2;0;1;3;4;2421.78125;25.6421627;55.43685872;311.78125
Acalypha_SPP.;Acalypha;EUPHORBIACEAE;1;2;3;1;2;2;1;0;1;0;5;2;5;1664.717934;20.99742953;269.8610763;170.9877031
Acanthosyris_falcata;Acanthosyris;SANTALACEAE;1;2;1;0;2;1;0;1;2;1;4;2;0;960.5588235;23.2877166;343.2170973;96.35294118
Acanthosyris_glabrata;Acanthosyris;SANTALACEAE;1;2;1;0;1;1;0;1;2;1;5;2;2;902.6428571;24.06273261;88.20324503;14.57142857
Acioa_guianensis;Acioa;CHRYSOBALANACEAE;1;2;3;0;2;3;1;1;2;0;2;0;2;2611.909091;26.10803912;49.76604948;244.2727273
Acmanthera_latifolia;Acmanthera;MALPIGHIACEAE;1;2;3;0;2;0;0;0;2;1;5;1;4;2337.55;26.56395359;39.92043819;276.875
Actinocheita_filicina;Actinocheita;ANACARDIACEAE;1;2;3;0;2;1;0;0;1;1;5;1;2;874.5138889;20.83558432;173.52646;24.40277778
Actinostemon_amazonicus;Actinostemon;EUPHORBIACEAE;0;2;1;0;2;1;0;1;2;0;1;1;1;2274.515152;25.97065747;60.09074115;228.1818182
Actinostemon_klotzschii;Actinostemon;EUPHORBIACEAE;0;2;3;0;2;0;0;1;1;0;5;0;5;1330.386207;21.80919475;202.840326;124.0275862
Adelia_SP.;Adelia;EUPHORBIACEAE;1;2;3;0;2;1;0;1;2;0;5;0;2;1706.895639;24.13297089;208.9147569;123.5046729
